class,filename,xmin,ymin,xmax,ymax,height,width
room,614_1.png,2108,387,2202,413,26,94
room,614_1.png,2443,443,2532,499,56,89
room,614_1.png,2649,445,2704,476,31,55
room,614_1.png,2678,716,2754,747,31,76
room,614_1.png,2596,971,2718,1003,32,122
room,614_1.png,2275,396,2341,425,29,66
room,614_1.png,2280,304,2385,334,30,105
room,615_1.png,1001,452,1111,483,31,110
room,615_1.png,818,605,928,646,41,110
room,615_1.png,1027,615,1136,655,40,109
room,615_1.png,889,1115,1001,1153,38,112
room,615_1.png,1007,830,1109,870,40,102
room,615_1.png,2054,469,2157,507,38,103
room,615_1.png,2477,418,2626,466,48,149
room,615_1.png,2505,858,2613,897,39,108
room,615_1.png,667,414,748,450,36,81
room,615_1.png,2253,416,2335,457,41,82
room,616_1.png,889,442,953,476,34,64
room,616_1.png,867,947,977,986,39,110
room,616_1.png,617,377,678,407,30,61
room,616_1.png,469,474,570,504,30,101
room,616_1.png,2008,460,2108,495,35,100
room,616_1.png,2442,865,2539,903,38,97
room,616_1.png,2559,387,2676,421,34,117
room,616_1.png,2088,404,2184,428,24,96
room,617_1.png,494,450,594,519,69,100
room,617_1.png,644,450,768,514,64,124
room,617_1.png,1369,437,1490,495,58,121
room,617_1.png,1846,450,1984,513,63,138
room,617_1.png,810,396,924,457,61,114
room,617_1.png,2134,467,2255,533,66,121
room,617_1.png,2081,370,2201,432,62,120
room,617_1.png,1195,417,1288,481,64,93
room,617_1.png,617,911,908,1028,117,291
room,617_1.png,1353,906,1655,1031,125,302
room,617_1.png,2128,899,2436,1032,133,308
room,617_1.png,1029,490,1132,554,64,103
room,618_1.png,1092,468,1213,539,71,121
room,618_1.png,1606,870,1733,949,79,127
room,618_1.png,1330,469,1447,542,73,117
room,618_1.png,1487,582,1603,644,62,116
room,618_1.png,831,476,979,537,61,148
room,618_1.png,464,734,585,795,61,121
room,618_1.png,472,881,571,959,78,99
room,618_1.png,466,1072,571,1137,65,105
room,618_1.png,686,1138,804,1172,34,118
room,618_1.png,1642,490,1768,574,84,126
room,619_1.png,959,418,1043,452,34,84
room,619_1.png,929,589,1013,618,29,84
room,619_1.png,906,779,1017,811,32,111
room,619_1.png,951,905,1038,939,34,87
room,619_1.png,925,1034,1060,1075,41,135
room,619_1.png,931,1675,1000,1706,31,69
room,619_1.png,1103,1599,1216,1662,63,113
room,619_1.png,928,1291,1037,1329,38,109
room,619_1.png,1177,824,1364,856,32,187
room,619_1.png,1179,1141,1359,1178,37,180
room,619_1.png,1891,1550,1957,1583,33,66
room,619_1.png,2131,1538,2195,1569,31,64
room,619_1.png,1886,1006,2063,1048,42,177
room,619_1.png,1639,802,1721,847,45,82
room,619_1.png,1140,480,1229,514,34,89
room,619_1.png,2271,519,2340,561,42,69
room,619_1.png,2067,517,2135,555,38,68
